Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Before Sunset,3681.0,2004,What if you had a second chance with the one that got away?,"Drama, Romance",Richard Linklater,/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,"""What if you had a second chance with the one that got away?""","journalist, talking, soulmates, walking, paris, france, bookshop, love of one's life, author, two-hander"
Nausicaä of the Valley of the Wind,3940.0,1984,A young girl's love called forth miracles…,"Adventure, Animation, Fantasy",Hayao Miyazaki,/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,"""A young girl's love called forth miracles…""","future, airplane, saving the world, human vs nature, fungus spores   , post-apocalyptic future, giant insect, toxic, based on manga, ecology, anime"
Miami Vice,1902.0,2006,No Law. No Rules. No Order.,"Action, Crime, Thriller",Michael Mann,/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg,"""No Law. No Rules. No Order.""","florida, miami, florida, undercover, remake, drug dealing, police detective, urban setting, police investigation, havana, cuba, speedboat , action hero"
Raiders of the Lost Ark,13330.0,1981,The return of the great adventure.,"Adventure, Action",Steven Spielberg,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,"""The return of the great adventure.""","egypt, treasure, medallion, swastika, saving the world, nepal, himalaya mountain range, cairo, moses, hat, whip, leather jacket, mediterranean, ark of the covenant, ten commandments, nazi, excavation, riddle, treasure hunt, archaeologist, adventurer, archeology, religious history, 1930s"
Indiana Jones and the Temple of Doom,9890.0,1984,If adventure has a name... it must be Indiana Jones.,"Adventure, Action",Steven Spielberg,/gpdVNUaa4LhRMLfJOPj1AZdhAZ3.jpg,"""If adventure has a name... it must be Indiana Jones.""","treasure, skeleton, wind, elephant, heart, riddle, crocodile, bridge, treasure hunt, torture, india, monkey, archaeologist, conveyor belt, child driving car, mine car, rope bridge, splits, adventurer, archeology, 1930s"
Dirty Dancing,6398.0,1987,First dance. First love. The time of your life.,"Drama, Music, Romance",Emile Ardolino,/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,"""First dance. First love. The time of your life.""","hotel, daughter, dancing, secret love, robbery, sibling relationship, summer camp, dancing master, mambo, dance performance, coming of age, teenage crush, teenage girl, doctor, class differences, family holiday, sensuality, summer romance, catskill resort"
Indiana Jones and the Last Crusade,10816.0,1989,Have the adventure of your life keeping up with the Joneses.,"Adventure, Action",Steven Spielberg,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,"""Have the adventure of your life keeping up with the Joneses.""","saving the world, nazi, holy grail, venice, italy, entrapment, crusader, germany, riddle, brotherhood, zeppelin, tank, book burning, nazi officer, boat chase, gestapo, single father, traveling circus, archaeologist, bible quote, medieval, boy scouts, german soldier, motorcycle chase, hindenburg, german agent, 1930s, biblical archaeology, father son relationship, adolf hitler, german language, knights templar, nazi germany, the crusades"
Beverly Hills Cop,4459.0,1984,"He's been chased, thrown through a window and arrested. Eddie Murphy is a Detroit cop on vacation in Beverly Hills.","Comedy, Crime, Action",Martin Brest,/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg,"""He's been chased, thrown through a window and arrested. Eddie Murphy is a Detroit cop on vacation in Beverly Hills.""","showdown, drug smuggling, undercover, cocaine, strip club, gunfight, mansion, los angeles, california, foot chase, art gallery, detroit, michigan, warehouse, childhood friends, murder investigation, beverly hills, buddy cop, buddy comedy, country club, maverick cop, damsel in distress, bar fight, bearer bonds, food delivery"
Armageddon,8337.0,1998,For love. For honor. For mankind.,"Action, Thriller, Science Fiction, Adventure",Michael Bay,/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,"""For love. For honor. For mankind.""","daughter, race against time, space marine, moon, washington dc, usa, saving the world, cataclysm, paris, france, asteroid, self sacrifice, nasa, loss of loved one, natural disaster, u.s. air force, end of the world, space, disaster, wedding, astronaut, duringcreditsstinger, disaster movie, heroic mission, daring rescue, space centre"
Beverly Hills Cop II,2727.0,1987,Axel Foley is back. Back where he doesn't belong.,"Action, Comedy, Crime",Tony Scott,/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,"""Axel Foley is back. Back where he doesn't belong.""","police, arms smuggling, intensive care, undercover, detective, investigation, armored car, strip club, sequel, shootout, gunfight, los angeles, california, detroit, michigan, horse track, beverly hills, buddy cop, credit card fraud, playboy mansion, shooting range, robbery gang, superdetective, ferrari"
Tron,2638.0,1982,A world inside the computer where man has never been. Never before now.,"Science Fiction, Action, Adventure",Steven Lisberger,/jigY9B6TKz4qlfikZcd18qtzTK4.jpg,"""A world inside the computer where man has never been. Never before now.""","hacker, video game, virtual reality, dystopia, simulation, super computer, utopia, computer simulation, simulated reality , arcade game, light cycle"
Gladiator,20422.0,2000,What we do in life echoes in eternity.,"Action, Drama, Adventure",Ridley Scott,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,"""What we do in life echoes in eternity.""","chicago, illinois, sports, boxer, blood splatter, fistfight, gay interest, tournament, racial tension, boxing"
